expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
kuuda,weak necessity,epistemic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak,epistemic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,strong,deontic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak necessity,deontic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak,deontic,1,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,strong,teleological,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak necessity,teleological,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak,teleological,1,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,strong ,circumstantial,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,weak,circumstantial,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
kuuda,strong,bouletic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
le,strong,epistemic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak necessity,epistemic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak,epistemic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,strong,deontic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak necessity,deontic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak,deontic,1,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,strong,teleological,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak necessity,teleological,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak,teleological,1,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,strong ,circumstantial,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,weak,circumstantial,1,negative,?,[clause] + le + AGR,le (impossibility) + AGR
le,strong,bouletic,?,negative,?,[clause] + le + AGR,le (impossibility) + AGR
