expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
gerek,strong,circumstantial,?,negative,yes,gerek + NEG,
gerek,weak,circumstantial,?,negative,yes,gerek + NEG,
gerek,strong,bouletic,?,negative,yes,gerek + NEG,
-ama-(z),strong,epistemic,?,negative,yes,negated aorist of V-_bil,_ stands in for harmonized vowel
-ama-(z),weak necessity,epistemic,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak,epistemic,1,negative,yes,negated aorist of V-_bil,
-ama-(z),strong,deontic,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak necessity,deontic,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak,deontic,1,negative,yes,negated aorist of V-_bil,
-ama-(z),strong,teleological,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak necessity,teleological,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak,teleological,1,negative,yes,negated aorist of V-_bil,
-ama-(z),strong,circumstantial,?,negative,yes,negated aorist of V-_bil,
-ama-(z),weak,circumstantial,1,negative,yes,negated aorist of V-_bil,
-ama-(z),strong,bouletic,?,negative,yes,negated aorist of V-_bil,
mümkün,strong,epistemic,?,negative,yes,clause + mümkün değil,paraphrase
mümkün,weak necessity,epistemic,?,negative,yes,clause + mümkün değil,
mümkün,weak,epistemic,?,negative,yes,clause + mümkün değil,
mümkün,strong,deontic,?,negative,yes,clause + mümkün değil,
mümkün,weak necessity,deontic,?,negative,yes,clause + mümkün değil,
mümkün,weak,deontic,?,negative,yes,clause + mümkün değil,
mümkün,strong,teleological,?,negative,yes,clause + mümkün değil,
mümkün,weak necessity,teleological,?,negative,yes,clause + mümkün değil,
mümkün,weak,teleological,?,negative,yes,clause + mümkün değil,
mümkün,strong,circumstantial,?,negative,yes,clause + mümkün değil,
mümkün,weak,circumstantial,1,negative,yes,clause + mümkün değil,
mümkün,strong,bouletic,?,negative,yes,clause + mümkün değil,
