expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
možet,weak,teleological,1,negative,yes,below,ne možet,
možet,strong,circumstantial,1,negative,yes,below,ne možet,
možet,weak,circumstantial,1,negative,yes,below,ne možet,
možet,strong,bouletic,?,negative,yes,below,ne možet,
dolžen,strong,epistemic,?,negative,yes,below,ne dolžen,
dolžen,weak necessity,epistemic,?,negative,yes,below,ne dolžen,
dolžen,weak,epistemic,?,negative,yes,below,ne dolžen,
dolžen,strong,deontic,?,negative,yes,below,ne dolžen,
dolžen,weak necessity,deontic,?,negative,yes,below,ne dolžen,
dolžen,weak,deontic,?,negative,yes,below,ne dolžen,
dolžen,strong,teleological,?,negative,yes,below,ne dolžen,
dolžen,weak necessity,teleological,?,negative,yes,below,ne dolžen,
dolžen,weak,teleological,?,negative,yes,below,ne dolžen,
dolžen,strong,circumstantial,?,negative,yes,below,ne dolžen,
dolžen,weak,circumstantial,1,negative,yes,below,ne dolžen,
dolžen,strong,bouletic,?,negative,yes,below,ne dolžen,
Nel’zya,strong,epistemic,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,epistemic,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,epistemic,0,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,deontic,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,deontic,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,deontic,1,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,teleological,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,teleological,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,teleological,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,circumstantial,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,circumstantial,0,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,bouletic,?,negative,no,N/A,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
nužno,strong,epistemic,?,negative,yes,below,ne nužno,
nužno,weak necessity,epistemic,?,negative,yes,below,ne nužno,
nužno,weak,epistemic,?,negative,yes,below,ne nužno,
