expression,force,flavour,can_express,polarity,register,syntactically_negated,full_form,notes
saamaat... dai,strong,deontic,?,positive,?,no,,
saamaat... dai,weak necessity,deontic,?,positive,?,no,,
saamaat... dai,weak,deontic,?,positive,?,no,,
saamaat... dai,strong,teleological,?,positive,?,no,,
saamaat... dai,weak necessity,teleological,?,positive,?,no,,
saamaat... dai,strong ,circumstantial,?,positive,?,no,,
saamaat... dai,strong,bouletic,?,positive,?,no,,
Yark,strong,epistemic,?,positive,-,no,,
Yark,weak necessity,epistemic,?,positive,-,no,,
Yark,weak,epistemic,?,positive,-,no,,
Yark,strong,deontic,?,positive,-,no,,
Yark,weak necessity,deontic,?,positive,-,no,,
Yark,weak,deontic,?,positive,-,no,,
Yark,strong,teleological,?,positive,-,no,,
Yark,weak necessity,teleological,?,positive,-,no,,
Yark,weak,teleological,?,positive,-,no,,
Yark,strong ,circumstantial,?,positive,-,no,,
Yark,weak,circumstantial,?,positive,-,no,,
... dai,strong,epistemic,?,negative,conversational,yes,... mai dai,
... dai,weak necessity,epistemic,?,negative,conversational,yes,... mai dai,
... dai,strong,deontic,?,negative,conversational,yes,... mai dai,
... dai,weak necessity,deontic,?,negative,conversational,yes,... mai dai,
... dai,strong,teleological,?,negative,conversational,yes,... mai dai,
... dai,weak necessity,teleological,?,negative,conversational,yes,... mai dai,
... dai,strong ,circumstantial,?,negative,conversational,yes,... mai dai,
... dai,strong,bouletic,?,negative,conversational,yes,... mai dai,
saamaat... dai,strong,epistemic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,epistemic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,epistemic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,deontic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,deontic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,deontic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,teleological,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,teleological,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong ,circumstantial,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,circumstantial,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,bouletic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong ,circumstantial,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,bouletic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
Harm,weak necessity,epistemic,?,negative,formal,no,harm,
Harm,weak,epistemic,?,negative,formal,no,harm,
Harm,strong,deontic,?,negative,formal,no,harm,
Harm,weak necessity,deontic,?,negative,formal,no,harm,
Harm,strong,teleological,?,negative,formal,no,harm,
Harm,weak necessity,teleological,?,negative,formal,no,harm,
Harm,strong ,circumstantial,?,negative,formal,no,harm,
Harm,strong,bouletic,?,negative,formal,no,harm,
Aat ca,weak necessity,epistemic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,epistemic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong ,circumstantial,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,circumstantial,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,bouletic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ,strong,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong ,circumstantial,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,circumstantial,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,bouletic,?,negative,conversational,yes,aat mai+V,negation on main verb
Jampben,strong,epistemic,?,negative,-,yes,Mai jambpen,
Jampben,weak necessity,epistemic,?,negative,-,yes,Mai jambpen,
Jampben,weak,epistemic,?,negative,-,yes,Mai jambpen,
Jampben,weak necessity,deontic,?,negative,-,yes,Mai jambpen,
Jampben,weak,deontic,?,negative,-,yes,Mai jambpen,
Jampben,weak necessity,teleological,?,negative,-,yes,Mai jambpen,
Jampben,weak,teleological,?,negative,-,yes,Mai jambpen,
Jampben,strong ,circumstantial,?,negative,-,yes,Mai jambpen,
Jampben,weak,circumstantial,?,negative,-,yes,Mai jambpen,
Jampben,strong,bouletic,?,negative,-,yes,Mai jambpen,
Jampben dong,strong,epistemic,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak necessity,epistemic,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak,epistemic,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak necessity,deontic,?,negative,-,yes,Mai jambpen dong,
Jampben dong,strong,teleological,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak necessity,teleological,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak,teleological,?,negative,-,yes,Mai jambpen dong,
Jampben dong,strong ,circumstantial,?,negative,-,yes,Mai jambpen dong,
Jampben dong,weak,circumstantial,?,negative,-,yes,Mai jambpen dong,
Jampben dong,strong,bouletic,?,negative,-,yes,Mai jambpen dong,
Dong,strong,epistemic,?,negative,-,yes,Mai dong ,
Dong,weak necessity,epistemic,?,negative,-,yes,Mai dong ,
Dong,weak,epistemic,?,negative,-,yes,Mai dong ,
Dong,strong,deontic,?,negative,-,yes,Mai dong ,
Dong,weak necessity,deontic,?,negative,-,yes,Mai dong ,
Dong,weak,deontic,?,negative,-,yes,Mai dong ,
Dong,weak necessity,teleological,?,negative,-,yes,Mai dong ,
Dong,weak,teleological,?,negative,-,yes,Mai dong ,
Dong,weak,circumstantial,?,negative,-,yes,Mai dong ,
Dong,strong,bouletic,?,negative,-,yes,Mai dong ,
Dong jambpen,strong,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,teleological,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,teleological,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong ,circumstantial,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,circumstantial,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,bouletic,?,negative,-,yes,Mai dong jambpen,
Aat ca ... nae jai,strong,epistemic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak necessity,epistemic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak,epistemic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,strong,deontic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak necessity,deontic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak,deontic,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,strong,teleological,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak necessity,teleological,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak,teleological,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,weak,circumstantial,?,negative,-,yes,Aat ca... mai nae jai,
Aat ca ... nae jai,strong,bouletic,?,negative,-,yes,Aat ca... mai nae jai,
